Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Saylors,David,1854,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,1,5,12
F,Freeman,Cheyana,1997,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,1,10,22
L,Mowrey,Sean,1890,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,2,4,12
F,Young,Krista,1913,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,2,8,22
L,Oneal,Jordan,1964,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,3,3,12
F,Maile,Robyn,1882,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,3,6,22
L,Colemon,Grant,1998,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,4,2,12
F,Sintef,Megan,1999,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,4,4,22
L,Paul,Kyle,1982,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,5,1,12
F,Ho,Amanda,1895,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,5,2,22
L,McCall,Nathan,2000,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,6,0,12
F,Karras,Ashlee,1987,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,6,1,22
L,Reeves,Jon,2001,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,7,0,12
F,Rogers,Emily,1638,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,7,1,22
L,Cobb,Trey,2002,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,8,0,12
F,Thai,Stephenie,2003,5/10/2025,Center Stage Country Swing,"Boise, ID",Novice,8,1,22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
